104,-200,-112
248,1568,-1288
-1344,2528,-1144
-1128,2392,-648
-792,984,352
-1032,896,64
-1064,864,40
-1136,856,56
-1216,1008,80
-1264,1088,-24
-1296,1296,8
-1256,1576,0
-1224,1768,-8
-1112,1672,-24
-880,1160,136
-616,608,208
-296,168,-32
-16,-216,-56
208,-408,-24
304,-376,-56
408,-400,-216
552,-256,-272
696,-224,-344
840,-168,-512
1072,-200,-112
1088,-256,-376
968,-232,-24
872,-240,-24
880,-288,-456
992,-256,-768
1056,-256,-472
1120,-248,-88
1056,-256,-296
920,-264,56
816,-312,-168
816,-360,-512
960,-328,-992
1144,-248,-584
1216,-208,-496
1176,-208,-376
1080,-160,-256
1016,-144,72
888,-56,344
784,-216,40
464,-512,-160
488,-1488,-568
544,-1240,-520
736,-696,-416
968,-400,-448
704,-712,-552
656,-736,-528
808,-88,232
872,-264,-32
704,-1392,-1120
448,-792,408
224,-760,520
112,-432,824
80,-152,512
24,200,160
-32,424,-496
-224,576,-312
-632,728,272
-1336,952,288
-1792,1304,280
-1968,1128,184
-2000,1336,-24
-1856,1024,0
-1728,928,184
-1424,720,456
-1168,408,256
-1024,104,424
-888,-56,584
