-768,64,-632
-752,8,-600
-768,0,-640
-792,0,-632
-792,-8,-624
-784,8,-680
-784,48,-696
-760,56,-680
-760,64,-680
-768,64,-648
-784,72,-616
-744,56,-568
-760,56,-616
-760,64,-600
-760,72,-672
-760,72,-688
-744,112,-680
-736,104,-680
-784,128,-848
-752,264,-616
-696,248,-600
-688,288,-544
-664,296,-680
-800,1600,-528
-1592,-1688,1456
-1416,-2888,1424
-2744,-1984,1352
-3256,128,-328
-1224,-264,136
-968,624,-544
-640,632,-296
-672,640,-328
-776,648,-392
-824,648,-384
-832,704,-520
-848,776,-608
-864,1144,-408
-960,1248,-408
-1064,1256,-496
-1144,1312,-192
-1152,1264,-200
-1088,992,-144
-800,584,-80
-536,-160,0
-552,-488,24
-512,-616,184
-560,-496,-8
-488,2512,-240
-480,2824,-328
-632,2584,-72
-832,2208,8
-904,1808,128
-960,1416,264
-904,1072,248
-720,664,144
-496,304,48
-160,-320,-120
16,-504,-48
152,-816,-96
128,-776,-56
16,-624,-24
-168,-480,48
-448,-192,120
-848,384,168
-1192,1232,-304
-1360,1720,32
-1192,1792,-624
-1128,1808,-536
-792,1800,-328
-752,1688,-472
-728,1384,-472
-688,1104,-280
-688,1008,-224
-632,1008,-112
-656,936,-96
-648,768,-72
-608,560,-72
-568,552,-32
-520,816,-104
-472,1400,96
-552,1952,-48
-752,2176,0
-1008,2184,208
-1176,1696,160
-1016,936,16
-624,224,-48
-264,-496,-104
-8,-648,-32
128,-648,0
160,-440,-8
224,-240,-8
280,-72,-32
88,168,-32
-160,496,64
-520,800,144
