-2496,2592,-672
-2744,392,1144
-1768,1000,-104
-1136,792,64
-1152,584,96
-1040,448,152
-992,400,128
-960,384,128
-960,376,152
-952,360,128
-944,360,152
-944,352,112
-952,352,120
-960,368,128
-968,352,160
-952,352,136
-944,352,128
-944,344,128
-944,352,136
-944,360,112
-952,344,120
-960,344,128
-976,344,144
-968,368,120
-992,488,32
-1008,664,-160
-1128,864,-104
-1160,992,136
-1208,1160,144
-1400,1384,304
-1696,1528,360
-1512,1056,144
-1032,256,-56
-768,-704,592
-440,-864,704
-360,-1056,-232
-432,-528,-312
-960,480,1080
-1376,1848,1240
-1496,2448,416
-1240,2520,488
-688,1760,-304
0,104,-896
120,152,-248
-560,432,216
-960,1608,848
-512,656,-184
-136,832,-136
-192,1376,-504
176,880,-368
256,448,-88
232,176,96
192,-16,160
104,-152,168
40,-208,248
-136,8,48
-400,848,-128
-1216,1696,1544
-1152,2648,320
-600,2376,-200
-368,2032,-16
-272,1464,-104
-136,504,80
-104,-160,200
-72,-344,152
-248,-344,-144
-768,640,584
-1152,1216,1224
-1128,1320,112
-936,1160,-56
-776,1176,-152
-728,1032,488
-608,776,576
-712,816,336
-736,752,280
-768,560,448
-904,552,-472
-936,504,400
-984,560,416
-968,528,728
-936,312,768
-928,256,624
-888,264,400
-840,224,224
-824,312,472
-808,384,640
-832,440,552
-824,456,664
-840,424,512
-872,424,424
-904,360,520
-928,280,648
-888,344,616
-888,408,568
-880,376,560
-848,200,512
